prompt,A,B,C,D,E,answer,category,Function
소득세법령상 국외자산 양도에 대한 양도소득세에 관한 설명으로 옳은 것은?,국외자산 양도에 대한 양도소득세 납세의무자는 해당 자산의 양도일까지 계속 10년 이상 국내에 주소를 둔 거주자만 해당한다.,외국법인이 발행한 주식의 양도로 발생하는 소득은 국외자산 양도소득의 범위에 포함 된다,국외자산 양도소득이 국외에서 외화를 차입하여 취득한 자산을 양도하여 발생하는 소득으로서 환율변동으로 인하여 외화차입금으로부터 발생하는 환차익을 포함하고 있는 경우에는 해당 환차익을 양도소득의 범위에 포함한다.,"국외자산 양도차익을 계산함에 있어서는 양도가액 및 필요경비를 수령하거나 지출한 날 현재 외국환거래법에 의한 기준환율 또는 재정환율에 의하여 계산한다.
",국외소재 토지로서 보유기간이 3년 이상인 경우 국외자산 양도소득금액 계산시 장기 보유특별공제액을 공제한다.,D,Income Tax Law,Thoery
소득세법령상 비거주자의 납세의무에 관한 설명으로 옳지 않은 것은?,거주자는 주소 또는 거소의 국외 이전을 위하여 출국하는 날에 비거주자가 된다.,비거주자에 대하여 과세하는 소득세는 해당 국내원천소득을 종합하여 과세하는 경우 와 분류하여 과세하는 경우 및 그 국내원천소득을 분리하여 과세하는 경우로 구분하여 계산한다.,비거주자가 국내에 사업의 전부 또는. 일부를 수행하는 고정된 장소를 가지고 있는 경우에는 국내사업장이 있는 것으로 한다.,비거주자가 고용인을 통하여 용역을 제공하는 장소로서 용역이 계속 제공되는 12개월 중 합계 6개월을 초과하는 기간 동안 용역이 수행되는 장소는 비거주자의 국내사업장에 포함된다.,비거주자 종합과세 시 과세표준과 세액을 계산하는 경우 자녀세액공제는 적용하지 않는다.,A,Income Tax Law,Thoery
소득세법령상 소득금액 계산의 특례에 관한 설명으로 옳은 것은?,피상속인의 소득금액에 대한 소득세로서 상속인에게 과세할 것과 상속인의 소득금액 에 대한 소득세는 합산하여 계산하여야 한다.,연금계좌의 가입자가 사망하였으나 그 배우자가 연금외수령 없이 해당 연금계좌를 상 속으로 승계하는 경우에는 해당 연금계좌에 있는 피상속인의 소득금액은 피상속인의 소득금액으로 보아 소득세를 계산한다.,"주거용 건물임대업에서 발생하는 결손금은 종합소득 과세표준을 계산할 때 공제하지 아니한다.
","납세지 관할 세무서장 또는 지방국세청장은 이자소득, 사업소득 또는 기타소득이 있 는 거주자의 행위 또는 계산이 그 거주자와 특수관계인과의 거래로 인하여 그 소득에 대한 조세 부담을 부당하게 감소시킨 것으로 인정되는 경우에는 그 거주자의 행위 또 는 계산과 관계없이 해당 과세기간의 소득금액을 계산할 수 있다.",사업소득이 발생하는 사업을 공동으로 경영하고 그 손익을 분배하는 공동사업의 경우에는 해당 사업을 경영하는 장소를 1거주자로 보아 공동사업장별로 그 소득금액을 계산한다.,E,Income Tax Law,Thoery
"소득세법령상 비과세소득은 모두 몇 개인가?
1. 사업소득 중 논을 작물 생산에 이용하게 함으로써 발생하는 소득
2. 기타소득 중 골동품을 미술관에 양도함으로써 발생하는 소득
3. 근로소득 중 사용자로부터 식사 기타 음식물을 제공받는 근로자가 받는 월 20만원의 식사대
4. 근로소득 중 국민건강보험법 에 따라 사용자가 부담하는 보험료",1개,2개,3개,4개,0개,C,Income Tax Law,Thoery
국세기본법령상 납세의무의 성립과 확정에 관한 설명으로 옳은 것은?,"원천징수하는 소득세, 법인세를 납부할 의무의 성립시기는 과세기간이 끝나는 때이다.",과세표준신고서를 법정신고기한까지 제출한 자가 하는 국세의 수정신고는 당초의 신 고에 따라 확정된 과세표준과 세액을 감액하여 확정하는 효력을 가진다.,"교통, 에너지, 환경세는 납세의무가 성립하는 때에 특별한 절차 없이 그 세액이 확정 된다","납세의무가 확정된 소득, 수익, 재산, 행위 또는 거래에 대해서는 그 납세의무가 성립 될 당시의 세법에 따라 과세한다.",상속세 및 증여세는 납세의무자가 과세표준과 세액을 정부에 신고했을 때에 확정된다.,D,National Tax Law,Thoery
국세기본법령상 국세의 부과제척기간과 국세징수권의 소멸시효에 관한 설명으로 옳은 것은?,"국세의 부과제척기간과 관련하여, 세무서장은 국세기본법 상 경정청구가 있는 경우 경정청구일부터 1년이 지나기 전까지 경정이나 그 밖에 필요한 처분을 할 수 있다.","국세징수권의 소멸시효와 관련하여, 법정 신고납부기한이 연장되는 경우 그 연장된 기한의 마지막 날을 국세징수권을 행사할 수 있는 때로 본다.","국세의 부과제척기간의 기산일과 관련하여, 공제세액등을 의무불이행 등의 사유로 징 수하는 경우 해당 사유가 발생한 날을 국세를 부과할 수 있는 날로 한다.",체납자가 국외에 6개월 이상 계속 체류하는 경우 국세징수권의 소멸시효는 해당 국외 체류 기간이 지난 때부터 새로 진행한다.,국세징수법상 압류금지재산을 압류했다는 사유로 압류를 즉시 해제하는 경우 국세 징수권의 소멸시효는 위 압류해제까지의 기간이 지난 때부터 새로 진행한다.,C,National Tax Law,Thoery
국세기본법령상 심사와 심판에 관한 설명으로 옳지 않은 것은?,"조세심판관합동회의는 구성원 과반수의 출석으로 개의하고, 출석위원 과반수의 찬성 으로 의결한다.",동일한 처분에 대해서 심사청구와 심판청구를 같은 날 제기한 경우 심사청구를 각하 하는 결정을 한다.,"이의신청, 심사청구 또는 심판청구 모두 해당 재결청이 처분의 집행 또는 절차속행의 전부 또는 일부의 정지를 결정할 수 있다.",심판청구금액이 5천만원(지방세의 경우는 2천만원) 미만인 것으로 유사한 청구에 대하여 이미 조세심판관회의의 의결에 따라 결정된 사례가 있는 것은 조세심판관회의의 심리를 거치지 아니하고 주심조세심판관이 심리하여 결정할 수 있다.,"재조사결정에 따른 처분청의 처분에 대해서는 해당 재조사 결정을 한 재결청에 대하여 심사청구 또는 심판청구를 제기할 수도 있고, 심사청구 또는 심판청구를 거치지 아니하고 행정소송을 제기할 수도 있다.",A,National Tax Law,Thoery
"국세기본법령상 세무조사에 관한 설명으로 옳지 않은 것은?
","세무공무원은 과세전적부심사의 재조사 결정에 의한 조사를 마친 경우 조사결과를 납세자에게 설명하고, 이를 서면으로 통지하여야 한다.","세무공무원은 장부기록 및 회계처리의 투명성 등 납세성실도를 검토하여 더 이상 조사할 사항이 없다고 판단될 때에는 조사기간 종료 전이라도 조사를 조기에 종결할 수 있다.
",과세관청 외의 기관이 직무상 목적을 위해 작성하거나 취득하여 과세관청에 제공한 자료의 처리를 위해 조사하는 경우 같은 세목 및 같은 과세기간에 대하여 재조사를 할 수 있다.,"납세자가 세무공무원에게 직무와 관련하여 금품을 제공하거나 금품제공을 알선한 경우 세무공무원은 조사 목적에 필요한 최소한의 범위에서 납세자, 소지자 또는 보관자 등 정당한 권한이 있는 자가 임의로 제출한 장부등을 납세자의 동의를 받아 세무관서에 일시 보관할 수 있다.",세무공무원은 과세관청의 조사결정에 의하여 과세표준과 세액이 확정되는 세목의 경우 과세표준과 세액을 결정하기 위하여 세무조사를 할 수 있다.,A,National Tax Law,Thoery
"국세징수법령상 납부고지, 독촉 등에 관한 설명으로 틀린 것은?",관할 세무서장은 납세자로부터 국세를 징수하려는 경우 납부고지를 하는 날부터 30일 이내의 범위로 납부하여야 할 기한을 적은 납부고지서를 납세자에게 발급하여야 한다.,납부고지서의 송달이 지연되어 도달한 날부터 14일 이내에 지정납부기한이 도래하는 경우 당초의 지정납부기한의 마지막 날부터 14일이 지난 날을 새로운 지정납부기한으로 한다.,관할 세무서장은 이미 납세의무가 확정된 국세를 납부기한 전에 징수하는 경우 당초의 납부기한보다 단축된 기한을 정하여 납세자에게 납부고지를 하여야 한다.,"관할 세무서장은 납세자가 국세를 지정납부기한까지 완납하지 아니하여 독 촉장을 발급하는 경우, 독촉을 하는 날부터 20일 이내의 범위에서 기한을 정하여 발급한다.",관할 세무서장이 세액을 분할하여 납부고지하는 것은 납부고지의 유예에 포함된다.,B,Tax Collection Law,Thoery
국세징수법령상 공매에 관한 설명으로 옳은 것은?,공매의 매수신청인은 문서로 매수신청을 해야 한다.,세무공무원은 제3자의 계산으로 압류재산을 매수할 수 있다.,"공매재산에 설정된 모든 질권, 저당권 및 가등기담보권은 매수인이 인수한다.",관할 세무서장은 최고가 매수신청인이 다른 법령에 따라 갖추어야 하는 자격을 갖추 지 못한 경우에는 매각결정기일을 1회에 한정하여 당초 매각결정기일부터 10일 이내 의 범위에서 연기할 수 있다.,"관할세무서장은 특정금융거래 정보의 보고 및 이용 등에 관한 법률에 따른 가상자산사업자를 통해 거래 되는 가상자산을 압류한 경우 가상자산사업자를 통하지 않고 직 접 공매할 수 있다.
",D,Tax Collection Law,Thoery
국세징수법령상 납세증명서 등 제도에 관한 설명으로 옳은 것은?,관할 세무서장은 지급명세서 등 금융거래에 관한 정보를 체납자의 재산조회와 강제징수를 위하여 사용할 수 없다.,법원의 결정으로 감치에 처하여진 체납자는 동일한 체납 사실로 인하여 다시 감치될 수 있다.,상가건물에 대해 보증금을 2천만원으로 하는 임대차계약을 체결한 임차인은 임대차 기간이 시작하는 날까지 임대인의 동의 없이 임대인의 미납국세 등의 열람을 관할 세무서장에게 신청할 수 있다.,관할 세무서장은 허가등을 받아 사업을 경영하는 자가 해당 사업과 관련된 부가가치세를 2회 체납했고 그 체납된 금액의 합계액이 2천만원인 경우 해당 주무관청에 사업 의 정지 또는 허가등의 취소를 요구할 수 있다.,"국세청장은 체납 발생일부터 1년이 지난 국세의 합계액이 1억원인 경우 체납자의 인적사항 및 체납액 등을 공개할 수 있다.
",C,Tax Collection Law,Thoery
"조세범 처벌법의 내용에 관한 설명으로 옳은 것은?
",조세범 처벌법에서 “조세”란 관세와 국세를 말한다.,타인이 조세특례제한법에 따른 근로장려금을 거짓으로 신청할 수 있도록 근로를 제공받지 아니하고 근로소득 지급명세서를 거짓으로 기재하여 세무서에 제출한 자와 위 행위를 알선하거나 중개한 자는 같은 형에 처한다.,부가가치세법 에 따라 세금계산서를 발급 받아야 할 자가 통정하여 세금계산서를 발급받지 아니하거나 거짓으로 기재한 세금계산서를 발급받은 경우 정상(情狀)에 따라 징역형과 벌금형을 병과할 수 있다.,"인지세법에 따라 첨부한 종이문서용 전자수입인지를 재사용한 자는 1년 이하의 징역 또는 1천만원 이하의 벌금에 처한다.
",부가가치세법에 따라 세금계산서를 발급하여야 할 자가 세금계산서를 발급하지 아니한 경우 2년 이하의 징역 또는 공급가액에 부가가치세의 세율을 적용하여 계산한 세액의 2배 이하에 상당하는 벌금에 처한다.,B,Tax Punishment Law,Thoery
조세범 처벌법상 4년의 징역에 처하는 것이 불가능한 경우는?,"석유판매업자가 석유류를 조세특례제한법 에서 정한 용도 외의 다른 용도로 사용, 판매하여 조세를 포탈한 경우",상습적으로 사기나 그 밖의 부정한 행위로써 조세를 포탈했고 포탈세액이 5억원인 경우,"석유 및 석유 대체 연료 사업법에따른 가짜 석유 제품을 제조 또는판매하여 조세를 포탈한 경우
",세무를 대리하는 세무사가 재화 또는 용역을 공급하지 아니하거나 공급받지 아니하고 부가가치세법 에 따른 세금계산서를 발급하는 행위를 알선한 경우,"국제조세조정에 관한 법률상 해외금융계좌정보의 비밀유지 의무 등을 위반한 경우
",A,Tax Punishment Law,Thoery
법인세법령상 소득처분에 관한 설명으로 옳지 않은 것은?,"특례기부금 및 일반기부금의 손금산입한도액을 초과하여 익금에 산입한 금액은 기타 사외유출로 소득처분한다.
","추계에 따라 결정된 과세표준과 내국법인의 재무상태표상의 당기순이익과의 차액(법인 세상당액을 공제하지 않은 금액)은 대표자에 대한 이익처분에 의한 상여로 한다. 다만, 천재지변 등으로 장부나 그 밖의 증명서류가 멸실되어 추계하는 경우에는 이를 기타사외유출로 소득처분한다.
","내국법인이 국세기본법 상 수정신고 기한내에 매출누락, 가공경비 등 부당하게 사외유 출된 금액을 회수하고 세무조정으로 익금에 산입하여 신고하는 경우의 소득처분은 사내 유보로 한다. 다만, 세무공무원이 과세자료의 수집 또는 민원 등을 처리하기 위하여 현 지출장이나 확인업무에 착수한 경우로서 경정이 있을 것을 미리 알고 사외유출된 금액 을 익금산입하는 경우에는 사내유보로 소득처분하지 않는다.",사외유출된 금액의 귀속이 불분명한 경우에 법령에서 정하는 대표자에게 귀속된 것으로 보아 처분한 경우 당해 법인이 그 처분에 따른 소득세 등을 대납하고 이를 손비로 계상 하거나 그 대표자와의 특수관계가 소멸될 때까지 회수하지 아니함에 따라 익금에 산입 한 금액은 기타사외유출로 소득처분한다.,대표자상여 처분시 사업연도중에 대표자가 변경된 경우 대표자 각인에게 귀속된 것이 분명한 금액은 이를 대표자 각인에게 구분하여 처분하고 귀속이 분명하지 아니한 경우 에는 사업연도말 현재 재직하고 있는 대표자에게 상여로 처분한다.,E,Corporate Tax Law,Thoery
"법인세의 각 사업연도 소득금액 계산상 손금에 산입하는 항목은 모두 몇 개인가?

1. 국민건강보험법 에 따라 징수하는 연체금
산업재해보상보험료의 연체금
2. 산업재해보상보험료의 가산금
3. 전기요금의 납부지연으로 인한 연체가산금
4. 업무와 관련하여 발생한 교통사고 벌과금
5. 한국은행법 에 따라 금융기관이 한국은행에 납부하는 과태금
6. 보세구역에 보관되어 있는 수출용 원자재가 관세법 상의 장치기간 경과로 국고귀속이 확정된 자산의 가액",2개,3개,4개,5개,6개,B,Corporate Tax Law,Thoery
"제조업을 영위하는 영리내국법인 (주)A가 제5기 과세기간(2024.1.1. ∼12.31.) 중 자본금전입시 과세되지 아니하는 잉여금인 주식발행초과금 200,000,000원을 재원으로 하여 무상증자를 시행하였다. 자기주식에 배정할 무상 주를 (주)B, (주)C, (주)D에 교부한 경우(사례1)와 교부하지 않은 경우(사례2)의 의제배당금액의 차이(사례1 금액에서 사례2 금액을 차감한 금액)를 (주)B, (주)C, (주)D별로 각각 계산한 것으로 옳은 것은? (단, 총 계산 결과치는 원단위 미만은 절사하며, 주어진 자료 외에는 고려하지 않음)

1. 무상증자 직전 (주)A의 총 발행주식수는 100,000주이고 발행가액은 주당 5,000원(액면가액 주당 500원)이며 자본금은 50,000,000원이다.
2. 무상증자 직전의 (주)A의 주주구성
주주 보유주식수
(주)A(자기주식) 20,000주
(주)B 30,000주
(주)C 40,000주
(주)D 10,000주","(주)B: 714,286원, (주)C: 952,381원, (주)D: 238,096원","(주)B: 1,714,286원, (주)C: 1,952,381원, (주)D: 1,238,096원","(주)B: 2,000,000원, (주)C: 3,000,000원, (주)D: 1,000,000원","(주)B: 3,000,000원, (주)C: 4,000,000원, (주)D: 1,000,000원","(주)B: 4,000,000원, (주)C: 5,000,000원, 
(주)D: 2,000,000원",D,Corporate Tax Law,Calculate
"제조업을 영위하는 중소기업이 아닌 (주)A의 제5기(2024.1.1.∼ 12.31.) 기업업무추진비에 관한 내용이다. 기업업무추진비에 관한 세무조정(소득 처분 포함)으로 옳은 것은? (단, 주어진 자료 외에는 고려하지 않음

1. 제5기의 기업업무추진비의 총 지출액은 56,000,000원이며 이 중 지출증빙이 없는 금액 8,000,000원, 지출증빙은 있으나 세금계산서 등 적격증명서류가 없는 6,000,000원(모두 건당 3만원 초과이고 영수증 수취분)이 포함되어 있 다. 이외에는 모두 적격증명서류를 갖추고 있다.
2. 적격증명서류를 수취한 부분 중 경조금은 없다.
3. 당기 기업회계기준에 따라 계산한 매출액은 12,000,000,000원이며 이 중
4,500,000,000원은 특수관계인인 (주)B와의 거래에서 발생한 수입금액이다.","손금불산입 8,000,000원(대표자상여), 손금불산입 12,350,000원(기타사외유출)","손금불산입 8,000,000원(대표자상여), 손금불산입 6,350,000원(기타사외유출)","손금불산입 14,000,000원(대표자상여), 손금불산입 8,150,000원(기타사외유출)","손금불산입 14,000,000원(대표자상여), 손금불산입 12,350,000원(기타사외유출)","손금불산입 8,000,000원(대표자상여), 손금불산입 14,150,000원(기타사외유출)",A,Corporate Tax Law,Calculate
국세기본법령상 납세의무가 성립하는 때에 특별한 절차 없이 그 세액이 확정되는 국세가 아닌 것은?,인지세,원천징수하는 소득세 또는 법인세,납세조합이 징수하는 소득세,"중간예납하는 법인세(세법에 따라 정부가 조사, 결정하는 경우로 한정한다)","원천징수 등 납부지연가산세(납부고지서에 따른 납부기한 후의 가산세로 한정한다)
",D,National Tax Law,Thoery
"국세징수법령상 고액, 상습체납자에 대하여 행할 수 있는 사항으로 옳지 않은 것은?",관할 세무서장은 체납 발생일부터 1년이 지난 국세의 합계액이 2억원 이상인 경우에 체납자의 수입물품에 대한 강제징수를 세관장에게 위탁할 수 있다.,국세청장은 체납 발생일부터 1년이 지난 국세의 합계액이 2억원 이상인 경우에 체납 자의 인적사항 및 체납액 등을 공개할 수 있으나 체납된 국세와 관련하여 심판청구가 계속 중인 경우에는 공개할 수 없다.,국세청장은 체납 발생일부터 1년이 지난 국세의 합계액이 2억원 이상인 경우에 체납자의 주소 또는 거소를 관할하는 지방검찰청 또는 지청의 검사에게 체납자의 감치(監置)를 신청할 수 있다.,법원의 결정으로 30일의 범위에서 체납된 국세가 납부될 때까지 체납자를 감치(監置)에 처 할 수 있으며 감치의 집행 중에 체납된 국세를 납부한 경우 감치집행을 종료하여야 한다.,"국세청장은 정당한 사유 없이 5천만원 이상의 국세를 체납한자 중 명단이 공개된 고액, 상습체납자로서 관할 세무서장이 압류, 공매, 담보 제공, 보증인의 납세보증서 등 으로 조세채권을 확보할 수 없고, 강제징수를 회피할 우려가 있다고 인정하는 사람에 대하여 법무부장관에게 출국금지를 요청하여야 한다.",C,National Tax Law,Thoery
국세기본법 및 소득세법상 납세의무의 승계와 연대납세 의무에 관한 설명으로 옳지 않은 것은?,"법인이 분할되거나 분할합병된 후 분할되는 법인이 존속하는 경우 분할법인, 분할신설법인 및 분할합병의 상대방 법인은 분할등기일 이후에 분할법인에 부과되거나 납세 의무가 성립한 국세 및 강제징수비에 대하여 연대하여 납부할 의무가 있다.",법인이 채무자 회생 및 파산에 관한 법률 제215조에 따라 신회사를 설립하는 경우 기존의 법인에 부과되거나 납세의무가 성립한 국세 및 강제징수비는 신회사가 연대하여 납부할 의무를 진다.,법인이 합병한 경우 합병 후 존속하는 법인 또는 합병으로설립된법인은합병으로 소멸된 법인에 부과되거나 그 법인이 납부할 국세 및 강제징수비를 납부할 의무를 진다.,소득세법상 공동사업자는 해당 공동사업자별로 납세의무를 지나 주된 공동사업자에게 합산과세되는 경우에는 주된 공동사업자의 특수관계인은 손익분배비율에 해당하는 그의 소득금액을 한도로 주된 공동사업자와 연대하여 납세의무를 진다.,"법인이 분할 또는 분할합병한 후 소멸하는 경우 분할신설법인, 분할합병의 상대방 법인은 분할법인에 부과되거나 분할법인이 납부하여야 할 국세 및 강제징수비에 대하여 분할로 승계된 재산가액을 한도로 연대하여 납부할 의무가 있다.",A,National Tax Law,Thoery
국세기본법상 심사청구에 관한 설명으로 옳지 않은 것은?,국세청장은 국세심사위원회 의결이 법령에 명백히 위반된다고 판단하는 경우 구체적인 사유를 적어 서면으로 국세심사위원회로 하여금 한 차례에 한정하여 다시 심의할 것을 요청할 수 있다.,심사청구는 천재 등으로 인한 기한의 연장사유에 해당되어 정한 기간에 심사청구를 할 수 없을 때에는 그 사유가 소멸한 날부터 14일 이내에 심사청구를 할 수 있다.,"심사청구의 보정요구를 받은 심사청구인은 보정할 사항을 서면으로 작성하여 국세청장에게 제출하거나, 국세청에 출석하여 보정할 사항을 말하고 그 말한 내용을 국세청 소속 공무원이 기록한 서면에 서명 또는 날인함으로써 보정할 수 있다.","심사청구인은 송부받은 의견서에 대하여 항변하기 위하여 국세청장에게 증거서류나 증거물을 제출할 수 있으며, 국세청장이 요구하는 경우 정한 기한까지 해당 증거서류 또는 증거물을 제출하여야 한다.",심사청구의 대상이 되는 처분으로 권리나 이익을 침해당하지 않는 경우에는 그 심사청구가 이유 없다고 인정되므로 청구인의 주장을 받아들이지 아니하는 기각결정을 한다.,E,National Tax Law,Thoery
국세징수법상 압류한 재산을 수의계약으로 매각할 수 있는 경우가 아닌 것은?,공매가 공익을 위하여 적절하지 아니한 경우,제1회 공매 후 1년간 5회 이상 공매하여도 매각되지 아니한 경우,"부패, 변질 또는 감량되기 쉬운 재산으로서 속히 매각하지 아니하면 그 재산가액이 줄어들 우려가 있는 경우
",압류한 재산의 추산가격이 1천만원 미만인 경우,수의계약으로 매각하지 아니하면 매각대금이 체납된 세액 이하가 될 것으로 예상되는 경우,E,Tax Collection Law,Thoery
국세징수법상 압류에 관한 설명으로 옳지 않은 것은?,납부기한 전 징수에 따라 납부고지를 받고 단축된 기한까지 국세를 완납하지 아니한 경우에는 독촉없이 압류한다.,채권 압류의 효력은 채권 압류 통지서가 체납자에게 송달된 때에 발생한다.,체납자 또는 제3자가 압류재산의 사용 또는 수익을 하는 경우 그 재산의 매각으로 인하여 권리를 이전하기 전까지 이미 거두어들인 천연과실에 대해서는 압류의 효력이 미치지 아니한다;,"세무공무원은 제3자가 제3자의 주거에 체납자의 재산을 감춘 혐의가 있다고 인정되는 경우 제3자의 주거를 수색할 수 있고, 해당 주거의 폐쇄된 문, 금고를 직접 열 수 있다.",관할세무서장은 체납자가 국가의 재산을 매수한 경우 소유권이 전전이라도 그 재산에 관한 체납자의 국가에 대한 권리를 압류한다.,B,Tax Collection Law,Thoery
국세징수법령상 납부기한의 연장과 납부고지의 유예에 관한 설명 으로 옳지 않은 것은?,납세자가 납부기한의 만료일 10일 전까지 납부기한 연장 신청을 하였으나 관할 세무 서장이 그 신청일부터 10일 이내에 승인 여부를 통지하지 아니한 경우에는 신청일부 터 10일이 되는 날에 그 신청을 승인한 것으로 본다.,"납세자가 도난으로 재산에 심한 손실을 입은 경우는 납부기한의 연장사유에 해당하나 세무사법에 따라 납세자의 장부 작성을 대행하는 세무사가 해당 납세자의 장부를 도난당한 경우는 해당하지 아니한다.
",관할 세무서장은 납부고지의 유예를 신청받은 경우 납부고지 예정인 국세의 납부하여야 할 기한의 만료일까지 납세자에게 납부고지 유예의 승인 여부를 통지하여야 한다.,관할 세무서장은 납부기한의 연장을 하는 경우 그 연장과 관계되는 금액에 상당하는 납세담보의 제공을 요구할 수 있으나 납세자가 재난 또는 도난으로 재산에 심한 손실 을 입은 경우에는 그러하지 아니하다.,관할세무서장은 납부고지의 유예를 한 후 해당 납세자인법인의 해산으로 그 유예한 기한까지 유예와 관계되는 국세의 전액을 징수할 수 없다고 인정되는 경우 그 납부고지의 유예를 취소하고 유예와 관계되는 국세를 한꺼번에 징수할 수 있다.,B,Tax Collection Law,Thoery
국세기본법령상 국세환급금과 국세환급가산금에 관한 설명으로 옳지 않은 것은?,국세환급금을 충당할 경우에는 체납된 국세 및 강제징수비에 우선 충당해야 하므로 납세자가 납부고지에 따라 납부하는 국세에 충당하는 것을 신청한 경우에도 체납된 국세 및 강제징수비에 우선 충당해야 한다.,원천징수의무자가 원천징수하여 납부한 세액에서 환급받을 환급세액이 있는 경우 그 원천징수의무자가 그 환급액을 즉시 환급해 줄 것을 요구하는 경우에는 즉시 환급한다.,"국세환급금의 소멸시효는 세무서장이 납세자의 환급청구를 촉구하기 위하여 납세자에 게 하는 환급청구의 안내, 통지 등으로 인하여 중단되지 아니한다.","세무서장은 국세환급금에 관한 권리의 양도 요구가 있는 경우에 양도인 또는 양수인 이 납부할 국세 및 강제징수비가 있으면 그 국세 및 강제징수비에 충당하고, 남은 금 액에 대해서는 양도의 요구에 지체 없이 따라야 한다.",납세자가상속세를물납한후그부과의전부또는일부를취소하거나감액하는경정 결정에 따라 환급하는 경우에는 해당 물납재산으로 환급하여야 한다. 이 경우 국세환 급가산금은 지급하지 아니한다.,A,National Tax Law,Thoery
조세범처벌법에 관한 설명으로 옳지 않은 것은?,납세의무자로 하여금 과세표준의 신고(신고의 수정을 포함)를 하지 아니하게 하거나 거짓으로 신고하게 한 자 또는 조세의 징수나 납부를 하지 않을 것을 선동하거나 교 사한 자는 1년 이하의 징역 또는 1천만원 이하의 벌금에 처한다.,"사기나 그 밖의 부정한 행위로써 조세를 포탈하거나 조세의 환급, 공제를 받은 자에 대해서는 정상(情狀)에 따라 징역형과 벌금형을 병과할 수 있다.","조세범처벌법에 따른 범칙행위에 대해서는 국세청장, 지방국세청장 또는 세무서 장의 고발이 없으면 검사는 공소를 제기할 수 없다.","이중장부의 작성 등 장부의 거짓 기장으로 조세를 포탈하거나 조세의 환급,공제받는 범칙행위를 한 자에 대해서는 형법 제38조 제1항 제2호 중 벌금경합에 관한 제한 가중규정을 적용하지 아니한다.","조세를 포탈하기 위한 증거인멸의 목적으로 세법에서 비치하도록 하는 장부 또는 증 빙서류를 해당 국세의 법정신고기한이 지난 날부터 7년 이내에 소각, 파기 또는 은닉 한 자는 2년 이하의 징역 또는 2천만원 이하의 벌금에 처한다.",E,Tax Punishment Law,Thoery
법인세법령상 외국자회사 수입배당금액의 익금불산입에 관한 설명으로 옳은 것은?,내국법인(법령에 따른 간접투자회사등을 포함한다)이 해당 법인이 출자한 외국자회사 로부터 받은 수입배당금액은 각 사업연도의 소득금액을 계산할 때 익금에 산입하지 아니한다.,내국법인이 수입배당금을 익금불산입할 수 있는 외국자회사란 내국법인이 의결권 있는 발행주식총수의 100분의 1을 초과하여 출자하고 있는 외국법인을 말한다.,국제조세조정에 관한 법률에 따라 특정외국법인의 유보소득에 대하여 내국법인이 배당받은 것으로 보는 금액에 대해서는 각 사업연도의 소득금액을 계산할 때 익금에 산입하지 아니한다.,내국법인이 적격합병에 따라 다른 내국법인이 보유하고 있던 외국자회사의 주식등을 승계받은 때에는 그 승계 전 다른 내국법인이 외국자회사의 주식등을 취득한 때부터 해당 주식등을 보유한 것으로 본다.,혼성금융상품의 거래에 따라 내국법인이 지급받는 수입배당금액은 각 사업연도의 소 득금액을 계산할 때 익금에 산입하지 않는다.,D,Corporate Tax Law,Thoery
법인세법상 성실신고확인서 제출에 관한 설명으로 옳지 않은 것은?,주식회사 등의 외부감사에 관한 법률에 따라 감사인에 의한 감사를 받은 내국법 인은 성실신고확인서를 제출하지 아니할 수 있다.,성실신고확인 대상인 내국법인이 법령에 따라 성실신고확인서를 제출하는 경우에는 각 사업연도의 종료일이 속하는 달의 말일부터 4개월 이내에 그 사업연도의 소득에 대한 법인세의 과세표준과 세액을 납세지 관할 세무서장에게 신고하여야 한다.,소득세법에 따른 성실신고확인대상사업자가 사업용자산을 현물출자하여 내국법인으로 전환한 경우 그 내국법인은 법인으로 전환한 후 5년 동안 성실신고확인서를 제출해야 한다.,성실신고확인서 제출 불성실 가산세를 적용할 때 법령에 따른 경정으로 산출세액이 0보다 크게 된 경우에는 경정된 산출세액을 기준으로 가산세를 계산한다.,성실신고확인서 제출 불성실 가산세는 산출세액이 없는 경우에도 적용한다.,C,Corporate Tax Law,Thoery
법인세법상 비영리법인의 각 사업연도의 소득에 대한 법인세에 관한 설명으로 옳은 것은?,비영리내국법인의 각 사업연도의 소득에는 고유목적사업에 직접 사용하는 자산의 처분으로 인한 모든 수입을 포함한다.,비영리내국법인의 고유목적사업준비금을 손비로 계상한 경우에는 그 계상한 고유목적 사업준비금을 이후 연속하는 3개 사업연도의 산출세액에서 순차적으로 차감한다.,수익사업을 하는 비영리내국법인은 유형자산인 토지의 양도로 인하여 발생하는 소득 이 있는 경우에 과세표준 신고를 하지 아니한다.,"수익사업을 하는 비영리내국법인은 장부의 기록, 보관 불성실 가산세의 적용을 받지 않는다.","비영리법인이 수익사업을 하는 경우에는 자산, 부채 및 손익을 그 수익사업에 속하는 것과 수익사업이 아닌 그 밖의 사업에 속하는 것을 각각 다른 회계로 구분하여 기록 하지 않을 수 있다.",D,Corporate Tax Law,Thoery
